# Date      - in YYYY-MM-DD format
# Oddometer - mileage at end of trip
# kWh       - kilowatt*hours after full charge
# MilesICE  - Miles driven under internal combustion engine
# Miles per gallon = 54
# Cents per kWh    = 17.59156
Date Oddometer kWh MilesICE
2017-06-16 319.0 0 -
2017-06-17 332.8 4.63 -
2017-06-18 337.5 6.22 -
2017-06-19 350.1 9.83 -
2017-06-20 362.6 12.91 -
2017-06-21 375.2 16.11 -
2017-06-22 406.9 23.61 5.6
2017-06-23 424.6 28.71 -
2017-06-24 458.1 36.16 1.6
2017-06-25 490.6 43.20 -
2017-06-26 511.0 48.72 -
2017-06-27 530.9 53.92 -
2017-06-28 551.3 59.04 -
2017-06-29 571.1 64.27 -
2017-06-30 608.3 - -
